year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"TAJIRUL, AKSAM",NPC,452
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"HALUN, ISMUN",LP,450
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"BANDAHALA, KHARDIN",IND,371
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"AROLA, ARAJUL",PDP,266
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SAKIRAN, JAJA",IND,245
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"MAIH, MUBIN",PDP,245
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"KAMLON, SALI",IND,235
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"JAWALI, JABAR",PDP,232
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"HAMJA, ANKASA",PDP,177
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SABIRON, ARNASIA",PDP,157
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"LALLI, NURDIM",IND,145
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"KALA, GASPAR",PDP,139
